Topic,cnt
history,81
text analysis,75
knowledge representation,62
infrastructure and tools,59
cultural studies,54
data visualization,54
visual analysis,47
open science and public humanities,42
literary studies,41
GLAM,41
media studies,40
large language models,40
computer and data sciences,39
information retrieval,32
art history,32
social sciences,31
statistics and data science,30
linguistics,27
spatial analysis,24
information sciences,20
network analysis,18
religious studies,16
archaeology,16
other,14
educational studies,10
philosophy,9
audio and sound analysis,6
musicology,3
